1;224620.1103;-14358.6928;6194.1994
2;224621.5661;-14708.2458;6205
3;224619.7859;-19889.0279;6209
4;224630.4097;-14712.3009;4068.5071
5;224610.7148;-14710.4225;2172.6275
6;224625.0933;-14520.1877;2081.432
7;221420.3931;-12439.9574;3369.1267
8;221420.4425;-12629.6496;2013.025
9;218831.3559;-12614.0362;2154.0129
10;218805.4931;-12634.0551;3304.8955
11;218801.8154;-12599.2173;3401.9552
12;216290.8584;-12913.3008;2158.2139
13;216247.5467;-12898.3728;3400.3883
14;216249.1487;-12912.6482;3324.3684
15;213683.575;-13195.538;3401.3614
16;213685.3435;-13198.2433;3304.8689
17;213748.5433;-13244.3784;2180.3273
18;211118.2559;-13496.2447;3402.9612
19;208552.1852;-13783.2157;3357.9583
20;208597.1097;-13774.2415;2143.1859
21;208413.4372;-20878.2063;6201.4013
22;208409.9963;-18629.9835;6207.9137
23;208410.9735;-18626.2764;4844.2387
24;208440.8836;-17524.2385;2087.9315
25;208401.8066;-13829.152;3413.2328
26;208542.343;-13773.4445;3372.1738
